Date,City,Rainfall_mm,Temperature_C,Humidity_%,Weather_Type
2023-02-03,Kathmandu,0.0,12.9,74,Cloudy
2023-02-04,Kathmandu,0.0,14.2,69,Clear
2023-02-05,Kathmandu,0.2,13.2,71,Drizzle
2023-02-06,Kathmandu,1.0,12.7,77,Drizzle
2023-02-07,Kathmandu,0.1,12.5,69,Drizzle
2023-02-08,Kathmandu,0.0,12.4,69,Cloudy
2023-02-09,Kathmandu,0.0,12.3,76,Cloudy
2023-02-10,Kathmandu,0.0,12.7,74,Cloudy
2023-02-11,Kathmandu,0.0,15.0,61,Clear
2023-02-12,Kathmandu,0.0,12.9,64,Cloudy
2023-02-13,Kathmandu,0.0,13.8,57,Clear
2023-02-14,Kathmandu,0.0,12.2,68,Cloudy
2023-02-15,Kathmandu,0.0,14.4,67,Cloudy
2023-02-16,Kathmandu,0.0,16.1,57,Cloudy
2023-02-17,Kathmandu,0.0,15.8,61,Cloudy
2023-02-18,Kathmandu,0.0,16.2,58,Cloudy
2023-02-19,Kathmandu,0.0,16.8,59,Cloudy
2023-02-20,Kathmandu,0.0,16.4,67,Cloudy
2023-02-21,Kathmandu,0.0,15.4,71,Cloudy
2023-02-22,Kathmandu,4.8,15.6,67,Rain
2023-02-23,Kathmandu,0.1,17.2,60,Drizzle
2023-02-24,Kathmandu,0.0,15.8,69,Cloudy
2023-02-25,Kathmandu,2.4,13.5,80,Rain
2023-02-26,Kathmandu,5.1,13.6,88,Rain
2023-02-27,Kathmandu,1.1,13.1,78,Drizzle
2023-02-28,Kathmandu,0.8,14.2,74,Drizzle
2023-03-01,Kathmandu,0.7,15.3,68,Drizzle
2023-03-02,Kathmandu,0.5,15.8,70,Drizzle
2023-03-03,Kathmandu,0.3,16.0,71,Drizzle
2023-03-04,Kathmandu,1.5,15.6,81,Drizzle
2023-03-05,Kathmandu,0.6,16.6,71,Drizzle
2023-03-06,Kathmandu,0.0,18.1,62,Cloudy
2023-03-07,Kathmandu,0.0,17.2,60,Cloudy
2023-03-08,Kathmandu,7.0,14.2,72,Rain
2023-03-09,Kathmandu,1.7,15.5,70,Drizzle
2023-03-10,Kathmandu,0.4,16.0,59,Drizzle
2023-03-11,Kathmandu,3.9,16.9,62,Rain
2023-03-12,Kathmandu,0.3,17.1,58,Drizzle
2023-03-13,Kathmandu,7.1,17.1,72,Rain
2023-03-14,Kathmandu,6.4,16.0,78,Rain
2023-03-15,Kathmandu,2.9,15.3,71,Rain
2023-03-16,Kathmandu,0.4,16.8,62,Drizzle
2023-03-17,Kathmandu,1.6,16.2,74,Rain
2023-03-18,Kathmandu,4.7,14.8,80,Rain
2023-03-19,Kathmandu,10.4,14.8,80,Rain
2023-03-20,Kathmandu,9.3,14.7,86,Rain
2023-03-21,Kathmandu,20.5,13.9,81,Rain
2023-03-22,Kathmandu,0.5,13.6,78,Drizzle
2023-03-23,Kathmandu,1.9,14.9,75,Drizzle
2023-03-24,Kathmandu,1.8,15.1,78,Drizzle
2023-03-25,Kathmandu,0.0,15.6,72,Cloudy
2023-03-26,Kathmandu,0.0,17.6,58,Cloudy
2023-03-27,Kathmandu,0.0,17.6,54,Cloudy
2023-03-28,Kathmandu,0.4,16.6,57,Drizzle
2023-03-29,Kathmandu,1.9,16.8,58,Drizzle
2023-03-30,Kathmandu,0.0,18.0,56,Cloudy
2023-03-31,Kathmandu,6.8,17.2,75,Rain
2023-04-01,Kathmandu,6.7,15.1,83,Rain
2023-04-02,Kathmandu,4.2,13.9,85,Rain
2023-04-03,Kathmandu,1.3,14.9,80,Drizzle
2023-04-04,Kathmandu,0.4,16.7,75,Drizzle
2023-04-05,Kathmandu,0.9,17.0,64,Drizzle
2023-04-06,Kathmandu,0.0,18.3,57,Clear
2023-04-07,Kathmandu,0.0,19.1,54,Cloudy
2023-04-08,Kathmandu,0.1,19.1,56,Drizzle
2023-04-09,Kathmandu,0.0,19.7,48,Cloudy
2023-04-10,Kathmandu,0.0,19.5,46,Cloudy
2023-04-11,Kathmandu,0.0,20.4,48,Cloudy
2023-04-12,Kathmandu,0.0,20.9,50,Clear
2023-04-13,Kathmandu,0.0,21.8,51,Cloudy
2023-04-14,Kathmandu,0.0,22.5,48,Cloudy
2023-04-15,Kathmandu,0.0,22.9,54,Cloudy
2023-04-16,Kathmandu,0.0,23.6,44,Cloudy
2023-04-17,Kathmandu,0.0,23.8,37,Cloudy
2023-04-18,Kathmandu,0.0,24.6,35,Cloudy
2023-04-19,Kathmandu,0.0,24.5,34,Cloudy
2023-04-20,Kathmandu,0.3,23.6,38,Drizzle
2023-04-21,Kathmandu,0.8,20.6,47,Drizzle
2023-04-22,Kathmandu,0.0,20.3,44,Cloudy
2023-04-23,Kathmandu,2.2,19.9,46,Rain
2023-04-24,Kathmandu,0.5,17.2,69,Drizzle
2023-04-25,Kathmandu,8.2,17.9,66,Rain
2023-04-26,Kathmandu,0.6,18.7,60,Drizzle
2023-04-27,Kathmandu,0.3,19.6,56,Drizzle
2023-04-28,Kathmandu,0.2,20.1,56,Drizzle
2023-04-29,Kathmandu,0.3,19.9,63,Drizzle
2023-04-30,Kathmandu,2.0,18.4,77,Drizzle
2023-05-01,Kathmandu,7.3,16.4,85,Rain
2023-05-02,Kathmandu,8.2,16.9,84,Rain
2023-05-03,Kathmandu,8.4,18.2,76,Rain
2023-05-04,Kathmandu,8.8,16.9,82,Rain
2023-05-05,Kathmandu,0.1,18.4,74,Drizzle
2023-05-06,Kathmandu,0.3,20.1,67,Drizzle
2023-05-07,Kathmandu,0.8,21.1,66,Drizzle
2023-05-08,Kathmandu,0.0,21.6,53,Cloudy
2023-05-09,Kathmandu,0.1,21.4,48,Drizzle
2023-05-10,Kathmandu,0.6,20.4,49,Drizzle
2023-05-11,Kathmandu,0.0,21.2,41,Cloudy
2023-05-12,Kathmandu,0.0,21.2,46,Clear
2023-05-13,Kathmandu,0.0,22.6,57,Cloudy
2023-05-14,Kathmandu,6.8,21.9,68,Rain
2023-05-15,Kathmandu,6.3,19.8,74,Rain
2023-05-16,Kathmandu,3.9,19.4,79,Rain
2023-05-17,Kathmandu,6.1,20.9,75,Rain
2023-05-18,Kathmandu,6.0,19.5,80,Rain
2023-05-19,Kathmandu,1.6,21.1,76,Drizzle
2023-05-20,Kathmandu,1.1,19.9,74,Drizzle
2023-05-21,Kathmandu,0.0,20.7,69,Cloudy
2023-05-22,Kathmandu,2.1,21.4,70,Drizzle
2023-05-23,Kathmandu,3.8,21.4,80,Rain
2023-05-24,Kathmandu,13.7,21.6,82,Rain
2023-05-25,Kathmandu,28.7,19.2,86,Rain
2023-05-26,Kathmandu,9.8,19.8,79,Rain
2023-05-27,Kathmandu,6.1,19.4,83,Rain
2023-05-28,Kathmandu,3.2,18.6,81,Drizzle
2023-05-29,Kathmandu,1.7,20.9,77,Drizzle
2023-05-30,Kathmandu,0.1,22.1,74,Drizzle
2023-05-31,Kathmandu,0.0,23.6,63,Cloudy
2023-06-01,Kathmandu,0.0,24.5,51,Cloudy
2023-06-02,Kathmandu,0.0,23.6,51,Cloudy
2023-06-03,Kathmandu,0.4,23.4,51,Drizzle
2023-06-04,Kathmandu,0.0,23.9,49,Cloudy
2023-06-05,Kathmandu,0.0,23.4,56,Cloudy
2023-06-06,Kathmandu,0.8,23.6,61,Drizzle
2023-06-07,Kathmandu,2.5,23.8,61,Rain
2023-06-08,Kathmandu,5.7,24.2,63,Rain
2023-06-09,Kathmandu,0.0,24.6,59,Cloudy
2023-06-10,Kathmandu,0.4,24.0,67,Drizzle
2023-06-11,Kathmandu,1.2,23.9,78,Drizzle
2023-06-12,Kathmandu,3.0,23.8,81,Drizzle
2023-06-13,Kathmandu,9.1,23.4,83,Rain
2023-06-14,Kathmandu,22.0,22.6,89,Rain
2023-06-15,Kathmandu,10.8,23.0,85,Rain
2023-06-16,Kathmandu,1.7,23.5,82,Drizzle
2023-06-17,Kathmandu,6.1,23.7,80,Rain
2023-06-18,Kathmandu,6.6,24.1,83,Rain
2023-06-19,Kathmandu,3.1,23.9,85,Drizzle
2023-06-20,Kathmandu,5.2,23.5,81,Rain
2023-06-21,Kathmandu,3.2,24.1,81,Drizzle
2023-06-22,Kathmandu,6.0,23.9,84,Rain
2023-06-23,Kathmandu,11.5,24.4,85,Rain
2023-06-24,Kathmandu,23.7,23.8,89,Rain
2023-06-25,Kathmandu,20.3,24.2,87,Rain
2023-06-26,Kathmandu,8.2,23.7,83,Rain
2023-06-27,Kathmandu,16.7,22.5,84,Rain
2023-06-28,Kathmandu,29.7,23.4,87,Rain
2023-06-29,Kathmandu,23.0,23.6,85,Rain
2023-06-30,Kathmandu,27.0,22.4,92,Rain
2023-07-01,Kathmandu,30.3,23.2,91,Rain
2023-07-02,Kathmandu,10.9,24.0,89,Rain
2023-07-03,Kathmandu,20.2,23.3,90,Rain
2023-07-04,Kathmandu,28.3,23.2,90,Rain
2023-07-05,Kathmandu,9.1,23.1,89,Rain
2023-07-06,Kathmandu,21.2,23.2,87,Rain
2023-07-07,Kathmandu,22.2,23.5,87,Rain
2023-07-08,Kathmandu,10.3,23.9,86,Rain
2023-07-09,Kathmandu,10.6,24.0,86,Rain
2023-07-10,Kathmandu,7.5,24.8,88,Rain
2023-07-11,Kathmandu,11.1,24.4,87,Rain
2023-07-12,Kathmandu,29.1,23.4,90,Rain
2023-07-13,Kathmandu,29.6,23.5,89,Rain
2023-07-14,Kathmandu,25.8,23.5,89,Rain
2023-07-15,Kathmandu,26.5,23.7,89,Rain
2023-07-16,Kathmandu,32.4,23.4,91,Rain
2023-07-17,Kathmandu,30.1,23.8,90,Rain
2023-07-18,Kathmandu,16.8,22.9,91,Rain
2023-07-19,Kathmandu,12.6,24.4,86,Rain
2023-07-20,Kathmandu,2.1,24.8,81,Drizzle
2023-07-21,Kathmandu,21.2,24.7,85,Rain
2023-07-22,Kathmandu,17.4,23.9,84,Rain
2023-07-23,Kathmandu,37.6,23.9,88,Rain
2023-07-24,Kathmandu,17.0,23.4,88,Rain
2023-07-25,Kathmandu,18.8,23.1,92,Rain
2023-07-26,Kathmandu,4.4,23.8,87,Rain
2023-07-27,Kathmandu,18.5,24.1,88,Rain
2023-07-28,Kathmandu,24.4,23.8,89,Rain
2023-07-29,Kathmandu,17.7,22.9,90,Rain
2023-07-30,Kathmandu,19.4,23.5,89,Rain
2023-07-31,Kathmandu,12.6,24.5,88,Rain
2023-08-01,Kathmandu,10.7,24.7,86,Rain
2023-08-02,Kathmandu,0.8,24.8,82,Drizzle
2023-08-03,Kathmandu,17.4,24.1,88,Rain
2023-08-04,Kathmandu,50.0,23.4,90,Rain
2023-08-05,Kathmandu,32.5,23.4,91,Rain
2023-08-06,Kathmandu,8.2,22.6,92,Drizzle
2023-08-07,Kathmandu,42.8,22.5,93,Rain
2023-08-08,Kathmandu,50.5,22.6,93,Rain
2023-08-09,Kathmandu,4.0,24.8,88,Rain
2023-08-10,Kathmandu,16.0,24.5,88,Rain
2023-08-11,Kathmandu,28.9,24.2,91,Rain
2023-08-12,Kathmandu,60.9,23.4,92,Rain
2023-08-13,Kathmandu,68.2,22.0,95,Rain
2023-08-14,Kathmandu,2.2,22.1,90,Drizzle
2023-08-15,Kathmandu,7.0,22.9,87,Rain
2023-08-16,Kathmandu,3.9,23.4,89,Drizzle
2023-08-17,Kathmandu,8.1,24.4,86,Rain
2023-08-18,Kathmandu,17.2,23.8,86,Rain
2023-08-19,Kathmandu,10.8,24.1,86,Rain
2023-08-20,Kathmandu,31.3,24.1,91,Rain
2023-08-21,Kathmandu,11.5,23.2,93,Rain
2023-08-22,Kathmandu,20.4,23.3,91,Rain
2023-08-23,Kathmandu,21.8,23.1,91,Rain
2023-08-24,Kathmandu,56.2,23.1,90,Rain
2023-08-25,Kathmandu,24.9,23.4,89,Rain
2023-08-26,Kathmandu,97.8,23.0,92,Rain
2023-08-27,Kathmandu,11.3,23.6,90,Rain
2023-08-28,Kathmandu,3.7,22.9,90,Rain
2023-08-29,Kathmandu,8.5,22.6,87,Rain
2023-08-30,Kathmandu,4.7,22.8,88,Rain
2023-08-31,Kathmandu,9.0,22.9,88,Rain
2023-09-01,Kathmandu,4.5,23.0,87,Rain
2023-09-02,Kathmandu,4.3,23.5,88,Rain
2023-09-03,Kathmandu,8.5,24.3,85,Rain
2023-09-04,Kathmandu,2.3,24.1,81,Rain
2023-09-05,Kathmandu,0.3,22.9,79,Drizzle
2023-09-06,Kathmandu,0.2,23.8,74,Drizzle
2023-09-07,Kathmandu,4.1,24.2,79,Rain
2023-09-08,Kathmandu,10.7,23.2,86,Rain
2023-09-09,Kathmandu,13.0,22.9,89,Rain
2023-09-10,Kathmandu,11.3,22.8,88,Rain
2023-09-11,Kathmandu,6.4,22.5,88,Rain
2023-09-12,Kathmandu,3.5,23.1,87,Drizzle
2023-09-13,Kathmandu,9.0,23.9,86,Rain
2023-09-14,Kathmandu,3.4,23.1,87,Drizzle
2023-09-15,Kathmandu,11.2,23.4,86,Rain
2023-09-16,Kathmandu,3.8,23.6,85,Rain
2023-09-17,Kathmandu,9.2,23.3,87,Rain
2023-09-18,Kathmandu,4.4,23.8,80,Rain
2023-09-19,Kathmandu,10.3,23.0,84,Rain
2023-09-20,Kathmandu,3.2,22.5,86,Drizzle
2023-09-21,Kathmandu,21.7,22.4,89,Rain
2023-09-22,Kathmandu,29.1,22.1,89,Rain
2023-09-23,Kathmandu,2.0,21.1,88,Drizzle
2023-09-24,Kathmandu,9.2,21.9,88,Rain
2023-09-25,Kathmandu,14.2,21.9,89,Rain
2023-09-26,Kathmandu,3.7,21.6,88,Rain
2023-09-27,Kathmandu,2.0,21.9,86,Drizzle
2023-09-28,Kathmandu,3.9,22.0,84,Rain
2023-09-29,Kathmandu,10.8,22.9,82,Rain
2023-09-30,Kathmandu,1.1,23.0,78,Drizzle
2023-10-01,Kathmandu,0.3,22.6,81,Drizzle
2023-10-02,Kathmandu,2.8,22.1,87,Rain
2023-10-03,Kathmandu,4.7,21.9,83,Rain
2023-10-04,Kathmandu,14.9,20.2,94,Rain
2023-10-05,Kathmandu,0.5,21.6,87,Drizzle
2023-10-06,Kathmandu,2.4,21.1,92,Drizzle
2023-10-07,Kathmandu,0.7,20.9,90,Drizzle
2023-10-08,Kathmandu,3.2,20.2,90,Rain
2023-10-09,Kathmandu,3.1,20.5,88,Drizzle
2023-10-10,Kathmandu,2.2,20.4,91,Drizzle
2023-10-11,Kathmandu,1.1,19.6,90,Drizzle
2023-10-12,Kathmandu,9.2,19.3,88,Rain
2023-10-13,Kathmandu,0.6,19.1,88,Drizzle
2023-10-14,Kathmandu,1.3,18.2,88,Drizzle
2023-10-15,Kathmandu,1.4,18.1,88,Drizzle
2023-10-16,Kathmandu,1.7,17.8,89,Drizzle
2023-10-17,Kathmandu,0.3,18.6,78,Drizzle
2023-10-18,Kathmandu,0.8,17.6,80,Drizzle
2023-10-19,Kathmandu,0.6,17.0,81,Drizzle
2023-10-20,Kathmandu,0.5,16.8,77,Drizzle
2023-10-21,Kathmandu,0.9,16.8,79,Drizzle
2023-10-22,Kathmandu,0.2,17.7,72,Drizzle
2023-10-23,Kathmandu,0.0,17.6,70,Cloudy
2023-10-24,Kathmandu,0.2,17.7,75,Drizzle
2023-10-25,Kathmandu,0.0,17.7,71,Cloudy
2023-10-26,Kathmandu,0.3,17.5,69,Drizzle
2023-10-27,Kathmandu,0.4,17.8,71,Drizzle
2023-10-28,Kathmandu,0.5,17.2,80,Drizzle
2023-10-29,Kathmandu,0.5,16.7,80,Drizzle
2023-10-30,Kathmandu,1.3,18.1,77,Drizzle
2023-10-31,Kathmandu,0.2,18.8,78,Drizzle
2023-11-01,Kathmandu,0.0,18.4,74,Cloudy
2023-11-02,Kathmandu,0.0,16.6,84,Cloudy
2023-11-03,Kathmandu,0.4,16.6,81,Drizzle
2023-11-04,Kathmandu,0.5,15.5,80,Drizzle
2023-11-05,Kathmandu,2.1,15.5,78,Drizzle
2023-11-06,Kathmandu,0.7,15.6,81,Drizzle
2023-11-07,Kathmandu,0.3,16.5,73,Drizzle
2023-11-08,Kathmandu,0.0,16.6,69,Cloudy
2023-11-09,Kathmandu,0.0,15.7,69,Cloudy
2023-11-10,Kathmandu,0.4,14.9,79,Drizzle
2023-11-11,Kathmandu,0.0,14.7,84,Cloudy
2023-11-12,Kathmandu,0.4,15.8,74,Drizzle
2023-11-13,Kathmandu,0.0,16.4,74,Cloudy
2023-11-14,Kathmandu,0.0,16.4,72,Cloudy
2023-11-15,Kathmandu,0.0,16.2,79,Cloudy
2023-11-16,Kathmandu,0.1,16.6,78,Drizzle
2023-11-17,Kathmandu,0.0,17.2,70,Clear
2023-11-18,Kathmandu,0.0,15.5,78,Cloudy
2023-11-19,Kathmandu,0.0,14.6,84,Cloudy
2023-11-20,Kathmandu,0.0,16.6,77,Clear
2023-11-21,Kathmandu,0.0,14.9,85,Cloudy
2023-11-22,Kathmandu,0.0,13.8,82,Cloudy
2023-11-23,Kathmandu,0.4,14.4,81,Drizzle
2023-11-24,Kathmandu,0.2,15.6,81,Drizzle
2023-11-25,Kathmandu,1.7,14.1,82,Drizzle
2023-11-26,Kathmandu,0.0,14.9,81,Cloudy
2023-11-27,Kathmandu,0.0,16.1,79,Cloudy
2023-11-28,Kathmandu,0.0,15.9,80,Cloudy
2023-11-29,Kathmandu,0.5,15.3,80,Drizzle
2023-11-30,Kathmandu,0.0,14.2,82,Cloudy
2023-12-01,Kathmandu,0.1,14.8,78,Drizzle
2023-12-02,Kathmandu,0.0,14.6,70,Clear
2023-12-03,Kathmandu,0.0,16.0,55,Cloudy
2023-12-04,Kathmandu,0.0,13.5,55,Cloudy
2023-12-05,Kathmandu,0.0,16.1,63,Cloudy
2023-12-06,Kathmandu,0.0,15.6,66,Cloudy
2023-12-07,Kathmandu,1.8,12.7,84,Drizzle
2023-12-08,Kathmandu,0.3,12.9,83,Drizzle
2023-12-09,Kathmandu,0.0,12.8,79,Cloudy
2023-12-10,Kathmandu,0.0,11.7,83,Cloudy
2023-12-11,Kathmandu,0.4,12.2,84,Drizzle
2023-12-12,Kathmandu,1.8,11.4,79,Drizzle
2023-12-13,Kathmandu,1.2,10.4,79,Drizzle
2023-12-14,Kathmandu,0.0,11.5,72,Cloudy
2023-12-15,Kathmandu,0.0,10.8,80,Cloudy
2023-12-16,Kathmandu,0.0,11.7,80,Cloudy
2023-12-17,Kathmandu,0.0,12.1,76,Cloudy
2023-12-18,Kathmandu,0.0,12.6,75,Cloudy
2023-12-19,Kathmandu,0.0,10.3,76,Cloudy
2023-12-20,Kathmandu,0.0,12.6,72,Cloudy
2023-12-21,Kathmandu,0.0,14.4,61,Cloudy
2023-12-22,Kathmandu,0.0,13.2,70,Cloudy
2023-12-23,Kathmandu,0.3,13.4,70,Drizzle
2023-12-24,Kathmandu,0.0,13.2,64,Clear
2023-12-25,Kathmandu,0.0,12.4,67,Cloudy
2023-12-26,Kathmandu,0.0,13.2,69,Cloudy
2023-12-27,Kathmandu,0.0,12.4,76,Cloudy
2023-12-28,Kathmandu,0.0,11.8,79,Cloudy
2023-12-29,Kathmandu,0.0,13.3,71,Cloudy
2023-12-30,Kathmandu,0.1,13.1,73,Drizzle
2023-12-31,Kathmandu,0.0,12.8,76,Cloudy
2023-01-01,Pokhara,0.0,10.9,74,Cloudy
2023-01-02,Pokhara,0.0,11.2,74,Cloudy
2023-01-03,Pokhara,0.0,10.2,78,Cloudy
2023-01-04,Pokhara,0.0,9.5,76,Clear
2023-01-05,Pokhara,0.0,10.4,63,Clear
2023-01-06,Pokhara,0.0,12.8,54,Clear
2023-01-07,Pokhara,0.0,11.8,56,Clear
2023-01-08,Pokhara,0.0,12.5,53,Clear
2023-01-09,Pokhara,0.0,12.9,58,Cloudy
2023-01-10,Pokhara,0.0,12.8,61,Cloudy
2023-01-11,Pokhara,0.0,12.1,65,Cloudy
2023-01-12,Pokhara,0.0,11.7,70,Cloudy
2023-01-13,Pokhara,0.0,10.2,75,Clear
2023-01-14,Pokhara,0.0,11.2,72,Clear
2023-01-15,Pokhara,0.0,10.4,81,Cloudy
2023-01-16,Pokhara,0.0,9.8,88,Cloudy
2023-01-17,Pokhara,0.0,9.2,86,Cloudy
2023-01-18,Pokhara,0.0,10.4,86,Cloudy
2023-01-19,Pokhara,0.0,10.0,85,Cloudy
2023-01-20,Pokhara,0.0,11.3,82,Cloudy
2023-01-21,Pokhara,0.0,11.2,76,Clear
2023-01-22,Pokhara,0.0,11.4,75,Cloudy
2023-01-23,Pokhara,0.0,11.9,70,Clear
2023-01-24,Pokhara,0.0,13.2,71,Cloudy
2023-01-25,Pokhara,0.2,12.6,78,Drizzle
2023-01-26,Pokhara,0.0,14.6,72,Cloudy
2023-01-27,Pokhara,0.0,13.4,70,Cloudy
2023-01-28,Pokhara,0.0,13.7,68,Clear
2023-01-29,Pokhara,0.0,11.8,82,Clear
2023-01-30,Pokhara,0.0,13.2,76,Cloudy
2023-01-31,Pokhara,0.0,13.8,70,Cloudy
2023-02-01,Pokhara,0.0,13.1,61,Clear
2023-02-02,Pokhara,0.0,12.2,73,Clear
2023-02-03,Pokhara,0.0,14.2,73,Clear
2023-02-04,Pokhara,0.0,13.6,73,Clear
2023-02-05,Pokhara,0.0,12.8,74,Cloudy
2023-02-06,Pokhara,0.0,13.8,78,Cloudy
2023-02-07,Pokhara,0.0,12.9,77,Cloudy
2023-02-08,Pokhara,0.0,13.1,68,Cloudy
2023-02-09,Pokhara,0.0,13.2,76,Cloudy
2023-02-10,Pokhara,0.0,13.6,83,Cloudy
2023-02-11,Pokhara,0.0,14.1,73,Cloudy
2023-02-12,Pokhara,0.0,13.5,64,Cloudy
2023-02-13,Pokhara,0.0,13.1,71,Cloudy
2023-02-14,Pokhara,0.0,13.3,72,Cloudy
2023-02-15,Pokhara,0.0,13.8,68,Cloudy
2023-02-16,Pokhara,0.0,15.3,59,Clear
2023-02-17,Pokhara,0.1,15.3,68,Drizzle
2023-02-18,Pokhara,2.3,17.0,72,Drizzle
2023-02-19,Pokhara,0.0,16.8,72,Cloudy
2023-02-20,Pokhara,0.0,16.9,71,Cloudy
2023-02-21,Pokhara,0.0,17.4,75,Cloudy
2023-02-22,Pokhara,0.0,17.1,68,Cloudy
2023-02-23,Pokhara,0.0,16.5,67,Cloudy
2023-02-24,Pokhara,0.0,16.0,64,Cloudy
2023-02-25,Pokhara,0.0,16.2,74,Cloudy
2023-02-26,Pokhara,0.4,13.6,81,Drizzle
2023-02-27,Pokhara,0.0,13.7,71,Cloudy
2023-02-28,Pokhara,0.0,15.6,69,Cloudy
2023-03-01,Pokhara,0.0,15.6,69,Cloudy
2023-03-02,Pokhara,0.0,16.0,62,Cloudy
2023-03-03,Pokhara,0.0,17.2,64,Cloudy
2023-03-04,Pokhara,0.0,17.2,75,Cloudy
2023-03-05,Pokhara,0.0,16.6,70,Cloudy
2023-03-06,Pokhara,0.0,17.6,64,Cloudy
2023-03-07,Pokhara,0.0,17.0,60,Cloudy
2023-03-08,Pokhara,10.5,15.6,75,Rain
2023-03-09,Pokhara,0.0,16.3,70,Cloudy
2023-03-10,Pokhara,0.0,16.5,62,Cloudy
2023-03-11,Pokhara,0.0,16.8,56,Cloudy
2023-03-12,Pokhara,0.0,18.1,57,Cloudy
2023-03-13,Pokhara,0.0,17.6,66,Cloudy
2023-03-14,Pokhara,1.7,17.0,68,Drizzle
2023-03-15,Pokhara,0.1,17.1,65,Drizzle
2023-03-16,Pokhara,0.0,17.2,64,Cloudy
2023-03-17,Pokhara,0.0,16.9,70,Cloudy
2023-03-18,Pokhara,1.1,16.4,68,Drizzle
2023-03-19,Pokhara,3.3,16.0,74,Rain
2023-03-20,Pokhara,6.7,15.4,84,Rain
2023-03-21,Pokhara,19.3,15.1,86,Rain
2023-03-22,Pokhara,0.2,15.4,76,Drizzle
2023-03-23,Pokhara,0.0,16.4,67,Cloudy
2023-03-24,Pokhara,0.0,17.3,72,Cloudy
2023-03-25,Pokhara,0.0,17.4,69,Cloudy
2023-03-26,Pokhara,0.1,17.3,64,Drizzle
2023-03-27,Pokhara,0.2,17.2,61,Drizzle
2023-03-28,Pokhara,0.0,17.1,61,Cloudy
2023-03-29,Pokhara,0.0,18.0,58,Cloudy
2023-03-30,Pokhara,0.0,19.1,56,Cloudy
2023-03-31,Pokhara,2.9,16.5,72,Drizzle
2023-04-01,Pokhara,3.8,15.6,70,Rain
2023-04-02,Pokhara,0.0,14.6,74,Cloudy
2023-04-03,Pokhara,0.0,17.2,69,Cloudy
2023-04-04,Pokhara,0.0,18.6,66,Cloudy
2023-04-05,Pokhara,0.0,17.6,63,Cloudy
2023-04-06,Pokhara,0.0,18.7,56,Cloudy
2023-04-07,Pokhara,0.0,19.2,49,Cloudy
2023-04-08,Pokhara,0.0,19.6,55,Cloudy
2023-04-09,Pokhara,0.0,20.2,52,Cloudy
2023-04-10,Pokhara,0.0,20.4,47,Cloudy
2023-04-11,Pokhara,0.0,20.8,48,Cloudy
2023-04-12,Pokhara,0.0,21.5,50,Cloudy
2023-04-13,Pokhara,0.0,22.4,49,Cloudy
2023-04-14,Pokhara,0.0,22.7,48,Cloudy
2023-04-15,Pokhara,0.0,22.3,54,Cloudy
2023-04-16,Pokhara,0.0,23.5,46,Cloudy
2023-04-17,Pokhara,0.0,23.6,44,Cloudy
2023-04-18,Pokhara,0.0,24.5,45,Cloudy
2023-04-19,Pokhara,0.0,24.2,46,Cloudy
2023-04-20,Pokhara,0.0,23.4,50,Cloudy
2023-04-21,Pokhara,0.2,20.4,57,Drizzle
2023-04-22,Pokhara,0.0,19.6,53,Cloudy
2023-04-23,Pokhara,0.0,20.8,45,Cloudy
2023-04-24,Pokhara,0.7,18.6,61,Drizzle
